"ワープアイテム" -> "Warp items"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"非売品を素材にしていますが、本当に売却しますか？" -> "I am using not for sale as a material, but do you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"命中率 50" -> "Accuracy 50"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 14" -> "State special skill type 14"
"属性強化 9" -> "Attribute enhancement 9"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート敵付加 15" -> "Skill Type State Enemy Attachment 15"
"属性強化 9" -> "Attribute enhancement 9"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 6" -> "Attribute enhancement 6"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 7" -> "Attribute enhancement 7"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 8" -> "Attribute enhancement 8"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 38" -> "Attribute enhancement 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 38" -> "Attribute enhancement 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"非売品ですが、本当に売却しますか？" -> "Although it is not for sale, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 6" -> "Attribute enhancement 6"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"属性強化 3" -> "Attribute enhancement 3"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"ステート特攻通常攻撃 10" -> "State Special Offensive Normal Attack 10"
"ステート特攻スキルタイプ 38" -> "State Special Feature Skill Type 38"
"特殊売却" -> "Special sale"
"非売品ですが、本当に売却しますか？" -> "Although it is not for sale, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"非売品ですが、本当に売却しますか？" -> "Although it is not for sale, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"命中率 100" -> "Accuracy 100"
"通常攻撃 5" -> "Normal Attack 5"
"スキルタイプステート自己付加 16" -> "Skill Type State Self Addition 16"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"合成の素材になりますが、本当に売却しますか？" -> "It will be a synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"通常攻撃 5" -> "Normal Attack 5"
"ステート特攻通常攻撃 22" -> "State Attack Normal Attack 22"
"ステート特攻スキルタイプ 17" -> "State Special Feature Skill Type 17"
"特殊売却" -> "Special sale"
"非売品かつ合成の素材になりますが、本当に売却しますか？" -> "It will be a not for sale and synthetic material, will you really sell it?"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ステート特攻通常攻撃 25" -> "State Attack Normal Attack 25"
"ステート特攻スキルタイプ 18" -> "State Special Feature Skill Type 18"
"ステート特攻通常攻撃 25" -> "State Attack Normal Attack 25"
"ステート特攻スキルタイプ 18" -> "State Special Feature Skill Type 18"
"ステート特攻通常攻撃 25" -> "State Attack Normal Attack 25"
"ステート特攻スキルタイプ 18" -> "State Special Feature Skill Type 18"
"特殊売却" -> "Special sale"
