"♪" -> "♪"
"スフィンクス" -> "Sphinx"
"アスタロト" -> "Astaroth"
"アドラメレク" -> "Adramelech"
"アリスフィーズ16世" -> "Alice Fies XVI"
"死神" -> "Reaper"
"ソニアマズダ" -> "Sonia Mazda"
"ソニアマンユ" -> "Soniaumanu"
"ミカエラ" -> "Michaela"
"ルシフィナ" -> "Lucifina"
"リヴァイアサン娘" -> "Leviathan girl"
"アルマエルマ" -> "Almaelma"
"グランベリア" -> "Granberia"
"斉天大聖" -> "Qianten's Great Saint"
"ヤマタノオロチ" -> "Yamata no Orochi"
"テスカトリポカ" -> "Tescatolipoka"
"ケツァルコァトル" -> "Quetzalcoatl"
"グノーシス" -> "Gnostic"
"シオン" -> "Sion"
"エルベティエ" -> "Elbetier"
"リリス" -> "Lilith"
"アジ・ダハーカ" -> "Asi · Dahacha"
"黒のアリス" -> "Black Alice"
"黒のアリス" -> "Black Alice"
"黒のアリス" -> "Black Alice"
"エデン" -> "Eden"
"ソニアカオス" -> "Sonia Chaos"
"玉藻" -> "Tamago"
"ルカ・ホリィ" -> "Luca Holy"
"ルカ・リノア" -> "Luca Rinoa"
"ルカ・ハイネ" -> "Luca Heine"
"ルカ・キリエ" -> "Luca Killier"
"フェルナンデス" -> "Fernandez"
"タイタニア" -> "Titania"
"ロザ" -> "Rosa"
"クィーンラミア" -> "Queen Lamia"
"クィーンハーピー" -> "Queen Harpy"
"クィーンスキュラ" -> "Queen Scyla"
"天使殺し" -> "Angel killing"
"魔王殺し" -> "Kill the Devil"
"ジャッジメント" -> "Judgement"
"ワールドブレイカー" -> "World Breaker"
"黒のアリス" -> "Black Alice"
"黒のアリス" -> "Black Alice"
"黒のアリス" -> "Black Alice"
