"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"パッシブ能力防具 1582" -> "Passive ability armor 1582"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 688" -> "Not coexisting memorize 688"
"パッシブ能力防具 1583" -> "Passive ability armor 1583"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 687" -> "Not co-resident Memory 687"
"パッシブ能力防具 1584" -> "Passive ability armor 1584"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 690" -> "Not co-resident Memory 690"
"パッシブ能力防具 1585" -> "Passive ability armor 1585"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 689" -> "Not coexisting Memoryize 689"
"パッシブ能力防具 1586" -> "Passive ability armor 1586"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 692" -> "Not coexisting Memorize 692"
"パッシブ能力防具 1587" -> "Passive ability armor 1587"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 691" -> "Not coexisting Memorize 691"
"パッシブ能力防具 1588" -> "Passive ability armor 1588"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 694" -> "Not coexisting memorize 694"
"パッシブ能力防具 1589" -> "Passive ability armor 1589"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 693" -> "Not coexisting Memorize 693"
"パッシブ能力防具 1590" -> "Passive ability armor 1590"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 696" -> "Not coexisting Memorize 696"
"パッシブ能力防具 1591" -> "Passive ability armor 1591"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 695" -> "Not coexisting memorize 695"
"パッシブ能力防具 1622" -> "Passive ability armor 1622"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1623" -> "Passive ability armor 1623"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1624" -> "Passive ability armor 1624"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1625" -> "Passive ability armor 1625"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1626" -> "Passive ability armor 1626"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1627" -> "Passive ability armor 1627"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1066" -> "Passive ability armor 1066"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 709" -> "Not coexisting memorize 709"
"パッシブ能力防具 1067" -> "Passive ability armor 1067"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 708" -> "Not coexisting memorize 708"
"パッシブ能力防具 1068" -> "Passive ability armor 1068"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 708" -> "Not coexisting memorize 708"
"パッシブ能力防具 1069" -> "Passive ability armor 1069"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 708" -> "Not coexisting memorize 708"
"ダミー" -> "dummy"
"パッシブ能力防具 1071" -> "Passive ability armor 1071"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 714" -> "Not co-resident Memory 714"
"パッシブ能力防具 1072" -> "Passive ability armor 1072"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 713" -> "Not co-resident Memory 713"
"パッシブ能力防具 1073" -> "Passive ability armor 1073"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 713" -> "Not co-resident Memory 713"
"パッシブ能力防具 1074" -> "Passive ability armor 1074"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 713" -> "Not co-resident Memory 713"
"ダミー" -> "dummy"
"パッシブ能力防具 1076" -> "Passive ability armor 1076"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 719" -> "Not coexisting Memorize 719"
"パッシブ能力防具 1077" -> "Passive ability armor 1077"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 718" -> "Not coexisting memorize 718"
"パッシブ能力防具 1078" -> "Passive ability armor 1078"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 718" -> "Not coexisting memorize 718"
"パッシブ能力防具 1079" -> "Passive ability armor 1079"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 718" -> "Not coexisting memorize 718"
"ダミー" -> "dummy"
"パッシブ能力防具 1135" -> "Passive ability armor 1135"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 724" -> "Not co-resident Memory 724"
"パッシブ能力防具 1136" -> "Passive ability armor 1136"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 723" -> "Not co-resident Memory 723"
"ダミー" -> "dummy"
"パッシブ能力防具 1138" -> "Passive ability armor 1138"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 727" -> "Not co-resident Memory 727"
"パッシブ能力防具 1139" -> "Passive ability armor 1139"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 726" -> "Not co-resident Memory 726"
"パッシブ能力防具 1140" -> "Passive ability armor 1140"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 726" -> "Not co-resident Memory 726"
"パッシブ能力防具 1141" -> "Passive ability armor 1141"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 726" -> "Not co-resident Memory 726"
"パッシブ能力防具 1142" -> "Passive ability armor 1142"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 731" -> "Not co-resident Memory 731"
"パッシブ能力防具 1143" -> "Passive ability armor 1143"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 730" -> "Not co-resident Memory 730"
"パッシブ能力防具 1144" -> "Passive ability armor 1144"
"記憶容量 8" -> "Storage capacity 8"
"共存不可メモライズ 730" -> "Not co-resident Memory 730"
"パッシブ能力防具 1145" -> "Passive ability armor 1145"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 734" -> "Not co-resident Memory 734"
"パッシブ能力防具 1146" -> "Passive ability armor 1146"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 733" -> "Not co-resident Memory 733"
"パッシブ能力防具 1147" -> "Passive ability armor 1147"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 736" -> "Not co-resident Memory 736"
"パッシブ能力防具 1148" -> "Passive ability armor 1148"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 735" -> "Not co-resident Memory 735"
"パッシブ能力防具 1198" -> "Passive ability armor 1198"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 738" -> "Not co-resident Memory 738"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 1149" -> "Passive ability armor 1149"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 741" -> "Not coexisting Memorize 741"
"パッシブ能力防具 1150" -> "Passive ability armor 1150"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 740" -> "Not co-resident Memory 740"
"パッシブ能力防具 1151" -> "Passive ability armor 1151"
"記憶容量 1" -> "Storage capacity 1"
"ダミー" -> "dummy"
"パッシブ能力防具 1153" -> "Passive ability armor 1153"
"記憶容量 3" -> "Storage capacity 3"
"パッシブ能力防具 1154" -> "Passive ability armor 1154"
"記憶容量 3" -> "Storage capacity 3"
"パッシブ能力防具 1155" -> "Passive ability armor 1155"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 747" -> "Not coexisting Memorize 747"
"パッシブ能力防具 1156" -> "Passive ability armor 1156"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 746" -> "Not coexisting Memorize 746"
"パッシブ能力防具 1157" -> "Passive ability armor 1157"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 749" -> "Not coexisting Memoryize 749"
"パッシブ能力防具 1158" -> "Passive ability armor 1158"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 748" -> "Not coexisting Memoryize 748"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 1688" -> "Passive ability armor 1688"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 753" -> "Not coexisting memorize 753"
"パッシブ能力防具 1689" -> "Passive ability armor 1689"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 752" -> "Not coexisting Memorize 752"
"パッシブ能力防具 1690" -> "Passive ability armor 1690"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 752" -> "Not coexisting Memorize 752"
"パッシブ能力防具 1691" -> "Passive ability armor 1691"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 756" -> "Not coexisting Memorize 756"
"パッシブ能力防具 1692" -> "Passive ability armor 1692"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 755" -> "Not coexisting Memorize 755"
"パッシブ能力防具 1693" -> "Passive ability armor 1693"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 755" -> "Not coexisting Memorize 755"
"パッシブ能力防具 1694" -> "Passive ability armor 1694"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 759" -> "Not coexisting Memorize 759"
"パッシブ能力防具 1695" -> "Passive ability armor 1695"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 758" -> "Not coexisting Memorize 758"
"パッシブ能力防具 1696" -> "Passive ability armor 1696"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 758" -> "Not coexisting Memorize 758"
"パッシブ能力防具 1697" -> "Passive ability armor 1697"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 762" -> "Not coexisting Memoryize 762"
"パッシブ能力防具 1698" -> "Passive ability armor 1698"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 761" -> "Not coexisting Memoryize 761"
"パッシブ能力防具 1699" -> "Passive ability armor 1699"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 761" -> "Not coexisting Memoryize 761"
"パッシブ能力防具 1706" -> "Passive ability armor 1706"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 765" -> "Not coexisting Memoryize 765"
"パッシブ能力防具 1707" -> "Passive ability armor 1707"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 764" -> "Not coexisting Memoryize 764"
"パッシブ能力防具 1708" -> "Passive ability armor 1708"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 764" -> "Not coexisting Memoryize 764"
"パッシブ能力防具 1703" -> "Passive ability armor 1703"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 768" -> "Not coexisting Memoryize 768"
"パッシブ能力防具 1704" -> "Passive ability armor 1704"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 767" -> "Not coexisting Memoryize 767"
"パッシブ能力防具 1705" -> "Passive ability armor 1705"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 767" -> "Not coexisting Memoryize 767"
"パッシブ能力防具 1700" -> "Passive ability armor 1700"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 771" -> "Not coexisting Memorize 771"
"パッシブ能力防具 1701" -> "Passive ability armor 1701"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 770" -> "Not co-resident Memory 770"
"パッシブ能力防具 1702" -> "Passive ability armor 1702"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 770" -> "Not co-resident Memory 770"
"パッシブ能力防具 1405" -> "Passive ability armor 1405"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1406" -> "Passive ability armor 1406"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1407" -> "Passive ability armor 1407"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1408" -> "Passive ability armor 1408"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1409" -> "Passive ability armor 1409"
"記憶容量 10" -> "Storage capacity 10"
"ダミー" -> "dummy"
"パッシブ能力防具 1411" -> "Passive ability armor 1411"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 780" -> "Not coexisting memorize 780"
"パッシブ能力防具 1412" -> "Passive ability armor 1412"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 779" -> "Not coexisting Memorize 779"
"パッシブ能力防具 1709" -> "Passive ability armor 1709"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 782" -> "Not co-resident Memory 782"
"パッシブ能力防具 1710" -> "Passive ability armor 1710"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 781" -> "Not coexisting Memorize 781"
"パッシブ能力防具 1711" -> "Passive ability armor 1711"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 784" -> "Not co-resident Memory 784"
"パッシブ能力防具 1712" -> "Passive ability armor 1712"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 783" -> "Not co-resident Memory 783"
"パッシブ能力防具 1713" -> "Passive ability armor 1713"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 786" -> "Not coexisting Memoryize 786"
"パッシブ能力防具 1714" -> "Passive ability armor 1714"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 785" -> "Not coexisting Memoryize 785"
"パッシブ能力防具 1715" -> "Passive ability armor 1715"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 788" -> "Not coexisting Memoryize 788"
"パッシブ能力防具 1716" -> "Passive ability armor 1716"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 787" -> "Not coexisting Memoryize 787"
"パッシブ能力防具 1717" -> "Passive ability armor 1717"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 790" -> "Not coexisting Memorize 790"
"パッシブ能力防具 1718" -> "Passive ability armor 1718"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 789" -> "Not coexisting Memoryize 789"
"パッシブ能力防具 1719" -> "Passive ability armor 1719"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 792" -> "Not coexisting Memorize 792"
"パッシブ能力防具 1720" -> "Passive ability armor 1720"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 791" -> "Not coexisting Memorize 791"
"パッシブ能力防具 1721" -> "Passive ability armor 1721"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 794" -> "Not coexisting Memorize 794"
"パッシブ能力防具 1722" -> "Passive ability armor 1722"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 793" -> "Not coexisting Memorize 793"
"パッシブ能力防具 1723" -> "Passive ability armor 1723"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 796" -> "Not coexisting Memorize 796"
"パッシブ能力防具 1724" -> "Passive ability armor 1724"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 795" -> "Not coexisting memorize 795"
"パッシブ能力防具 1725" -> "Passive ability armor 1725"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 795" -> "Not coexisting memorize 795"
"パッシブ能力防具 1726" -> "Passive ability armor 1726"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 795" -> "Not coexisting memorize 795"
"パッシブ能力防具 1730" -> "Passive ability armor 1730"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 800" -> "Not coexisting memorize 800"
"パッシブ能力防具 1731" -> "Passive ability armor 1731"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 799" -> "Not coexisting memorize 799"
"パッシブ能力防具 1732" -> "Passive ability armor 1732"
"記憶容量 1" -> "Storage capacity 1"
"パッシブ能力防具 1733" -> "Passive ability armor 1733"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 803" -> "Not coexisting Memorize 803"
"パッシブ能力防具 1734" -> "Passive ability armor 1734"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 802" -> "Not coexisting memorize 802"
"パッシブ能力防具 1735" -> "Passive ability armor 1735"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 802" -> "Not coexisting memorize 802"
"パッシブ能力防具 1736" -> "Passive ability armor 1736"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 802" -> "Not coexisting memorize 802"
"パッシブ能力防具 1737" -> "Passive ability armor 1737"
"記憶容量 1" -> "Storage capacity 1"
"パッシブ能力防具 1366" -> "Passive ability armor 1366"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 808" -> "Not coexisting Memorize 808"
"パッシブ能力防具 1367" -> "Passive ability armor 1367"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 807" -> "Not coexisting Memorize 807"
"パッシブ能力防具 1368" -> "Passive ability armor 1368"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 807" -> "Not coexisting Memorize 807"
"パッシブ能力防具 1369" -> "Passive ability armor 1369"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 811" -> "Not coexisting memorize 811"
"パッシブ能力防具 1370" -> "Passive ability armor 1370"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 810" -> "Not coexisting Memorize 810"
"ダミー" -> "dummy"
"パッシブ能力防具 1372" -> "Passive ability armor 1372"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 814" -> "Not co-resident Memory 814"
"パッシブ能力防具 1373" -> "Passive ability armor 1373"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 813" -> "Not co-resident Memory 813"
"パッシブ能力防具 1374" -> "Passive ability armor 1374"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 813" -> "Not co-resident Memory 813"
"パッシブ能力防具 1375" -> "Passive ability armor 1375"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 817" -> "Not co-resident Memory 817"
"パッシブ能力防具 1376" -> "Passive ability armor 1376"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 816" -> "Not co-resident Memory 816"
"ダミー" -> "dummy"
"パッシブ能力防具 1378" -> "Passive ability armor 1378"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 820" -> "Not coexisting memorize 820"
"パッシブ能力防具 1379" -> "Passive ability armor 1379"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 819" -> "Not coexisting Memorize 819"
"ダミー" -> "dummy"
"パッシブ能力防具 1381" -> "Passive ability armor 1381"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 823" -> "Not co-resident Memory 823"
"パッシブ能力防具 1382" -> "Passive ability armor 1382"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 822" -> "Not coexisting memorize 822"
"ダミー" -> "dummy"
"パッシブ能力防具 1384" -> "Passive ability armor 1384"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 826" -> "Not coexisting Memorize 826"
"パッシブ能力防具 1385" -> "Passive ability armor 1385"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 825" -> "Not coexisting memorize 825"
"ダミー" -> "dummy"
"パッシブ能力防具 1387" -> "Passive ability armor 1387"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 829" -> "Not co-resident Memory 829"
"パッシブ能力防具 1388" -> "Passive ability armor 1388"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 828" -> "Not co-resident Memory 828"
"ダミー" -> "dummy"
"パッシブ能力防具 1390" -> "Passive ability armor 1390"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 832" -> "Not co-resident Memory 832"
"パッシブ能力防具 1391" -> "Passive ability armor 1391"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 831" -> "Not coexisting Memorize 831"
"ダミー" -> "dummy"
"パッシブ能力防具 1393" -> "Passive ability armor 1393"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 835" -> "Not co-resident Memory 835"
"パッシブ能力防具 1394" -> "Passive ability armor 1394"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 834" -> "Not co-resident Memory 834"
"ダミー" -> "dummy"
"パッシブ能力防具 1396" -> "Passive ability armor 1396"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 838" -> "Not co-resident Memory 838"
"パッシブ能力防具 1397" -> "Passive ability armor 1397"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 837" -> "Not coexisting Memorize 837"
"ダミー" -> "dummy"
"パッシブ能力防具 1399" -> "Passive ability armor 1399"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 841" -> "Not coexisting Memorize 841"
"パッシブ能力防具 1400" -> "Passive ability armor 1400"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 840" -> "Not co-resident Memory 840"
"ダミー" -> "dummy"
"パッシブ能力防具 1402" -> "Passive ability armor 1402"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 844" -> "Not co-resident Memory 844"
"パッシブ能力防具 1403" -> "Passive ability armor 1403"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 843" -> "Not co-resident Memory 843"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 1671" -> "Passive ability armor 1671"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1672" -> "Passive ability armor 1672"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1673" -> "Passive ability armor 1673"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1674" -> "Passive ability armor 1674"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1675" -> "Passive ability armor 1675"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1676" -> "Passive ability armor 1676"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1677" -> "Passive ability armor 1677"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1678" -> "Passive ability armor 1678"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1679" -> "Passive ability armor 1679"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1680" -> "Passive ability armor 1680"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1681" -> "Passive ability armor 1681"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1682" -> "Passive ability armor 1682"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1683" -> "Passive ability armor 1683"
"記憶容量 5" -> "Storage capacity 5"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 940" -> "Passive ability armor 940"
"記憶容量 1" -> "Storage capacity 1"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"必殺技 3" -> "Its Special Move 3"
"必殺技 3" -> "Its Special Move 3"
"必殺技 3" -> "Its Special Move 3"
"必殺技 3" -> "Its Special Move 3"
"必殺技 3" -> "Its Special Move 3"
"必殺技 3" -> "Its Special Move 3"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"重複アニメ無効" -> "Duplicate animation invalid"
"敵単体連続" -> "Enemy unit continuous"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"攻撃属性 5" -> "Attack Attribute 5"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 10" -> "Attack Attribute 10"
"武器倍率 1" -> "Weapon magnification 1"
"消費HP 12" -> "Consumption HP 12"
"スキル命中補正率" -> "Skill hit correction ratio"
"ダミー" -> "dummy"
"　Target" -> "Target"
"イオンの刃で敵集団を何度も斬り裂く混沌奥義" -> "Chaotic mystery to slash enemy groups repeatedly with an ion blade"
"はイオンの刃を躍らせた！" -> "He made the ion blades excited!"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 45" -> "Attack Attribute 45"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"言うことを聞かない者を叩き伏せる一撃" -> "A blow striking down those who do not listen"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1､6" -> "Attack Attributes 1, 6"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"順番発動 3201" -> "Order activation 3201"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"還元 50" -> "Reduction 50"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
